"gene","min_ari","max_ari","ave_ari","moved:total reads","average_moved","total_reads","total_edpl","branch_length"
"COG1670",0.79103213535077,1,0.958206427070154,0.294564885496183,964.7,1427,323.894,830.0882
"COG1674",0.795462804116945,1,0.959092560823389,0.322660748560461,2689.7,6378,298.479,204.6067
"COG1702",0.136020993996009,1,0.689287761327973,0.345339097541205,1278.1,2898,144.048,106.414
"COG1847",0.382322429426739,1,0.660364512671773,0.309597637504614,838.7,2834,116.419,189.6246
"COG1854",1,1,1,0.21304347826087,465.5,2266,36.1462,73.33952
"COG1937",1,1,1,0.276164383561644,403.2,1673,67.9095,143.8513
"COG1940",0.910384596996996,1,0.955192298498498,0.227766482718559,3136.8,5593,916.849,626.942
"COG1966",1,1,1,0.27551314368023,1530.2,5613,238.562,160.1864
"COG1968",0.86106232233232,1,0.963366096594722,0.257206498951782,981.5,2231,78.1869,278.2464
"COG1971",0.553285076644195,1,0.821314030657678,0.175231379462318,397.6,2345,73.8482,195.9131
"COG2011",0.228145248544232,1,0.845629049708846,0.167182076364784,529.8,3087,37.3701,171.5632
"COG2145",1,1,1,0.198974049487025,329.7,1693,51.3081,180.5211
